-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  55.9201   Longitude -3.156 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 128.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2021,1,17,100.05,7.21,9.23,5.94,3.29,247.06,9.91,11.94,8.6,3.34,248.12
2021,1,18,99.34,7.4,9.23,4.88,4.36,240.94,9.96,11.84,7.65,4.2,241.94
2021,1,19,97.8,3.08,5.03,0.2,4.83,183.25,4.59,7.33,0.23,7.09,183.62
2021,1,20,96.3,3.05,4.1,2.54,1.55,250.88,4.74,6.04,3.16,2.88,251.5
2021,1,21,95.64,9.38,11.38,4.35,7.03,273.56,11.97,14.62,6.26,8.37,276.12
2021,1,22,96.92,6.96,10.66,4.45,6.22,273.81,9.38,13.7,7.21,6.48,275.69
2021,1,23,97.62,4.04,4.39,3.55,0.84,275.56,6.35,7.15,5.12,2.03,276.56
2021,1,24,98.12,3.91,6.3,2.5,3.8,268.0,5.96,9.14,3.64,5.5,269.0
2021,1,25,98.92,5.91,7.74,3.7,4.05,270.44,8.24,10.28,6.09,4.2,271.56
2021,1,26,99.27,3.48,6.02,2.48,3.54,196.0,5.31,8.28,3.9,4.38,196.75
2021,1,27,99.24,3.88,5.38,2.77,2.61,171.81,6.16,8.39,4.31,4.08,171.69
2021,1,28,98.26,5.32,7.27,2.22,5.05,110.56,7.34,9.61,3.38,6.23,111.38
2021,1,29,98.14,5.34,8.07,2.52,5.55,37.75,7.6,10.2,3.95,6.25,38.38
2021,1,30,99.05,5.05,5.7,3.81,1.88,65.69,7.67,8.49,6.12,2.38,66.31
2021,1,31,98.57,3.77,4.94,2.86,2.08,100.94,5.77,6.57,4.39,2.18,101.38
2021,2,1,98.36,3.85,5.23,3.2,2.03,74.62,5.92,7.88,4.66,3.21,75.38
2021,2,2,97.98,9.02,11.94,5.8,6.14,89.0,11.29,14.98,8.24,6.73,90.0
2021,2,3,98.23,10.26,11.79,8.33,3.46,81.25,12.79,14.88,10.38,4.5,82.06
2021,2,4,99.21,9.74,11.42,8.45,2.98,98.75,12.27,14.12,10.79,3.34,99.69
2021,2,5,99.53,10.02,10.48,9.36,1.12,88.88,12.58,13.02,11.5,1.52,89.56
2021,2,6,100.05,9.19,9.74,8.88,0.86,77.19,11.61,12.34,11.14,1.2,78.12
2021,2,7,100.19,8.83,9.51,8.09,1.41,83.12,11.6,12.33,11.08,1.25,83.56
2021,2,8,99.94,7.83,9.36,6.99,2.37,69.94,10.55,11.72,10.03,1.7,70.44
2021,2,9,99.9,6.52,7.83,4.96,2.88,61.38,8.95,9.84,7.46,2.38,62.5
2021,2,10,100.63,4.96,6.14,3.5,2.64,62.12,7.45,8.95,5.38,3.58,62.88
2021,2,11,101.26,3.53,4.88,2.91,1.96,95.25,5.32,8.2,4.0,4.2,96.0
2021,2,12,101.56,7.55,8.98,5.05,3.93,132.06,10.19,11.79,8.23,3.55,132.5
2021,2,13,101.14,10.33,11.6,9.05,2.56,151.81,13.3,14.58,11.87,2.71,152.62
2021,2,14,99.58,10.66,12.98,6.77,6.22,172.0,13.8,16.55,9.9,6.66,173.44
2021,2,15,99.36,6.3,6.96,5.35,1.61,193.12,9.23,10.26,8.19,2.07,193.81
2021,2,16,98.28,8.78,12.2,5.59,6.61,200.31,12.15,16.35,7.85,8.5,201.25
2021,2,17,98.15,8.37,10.95,6.07,4.88,185.88,11.2,14.61,7.52,7.09,187.0
2021,2,18,97.47,8.73,11.28,7.23,4.05,206.5,11.6,14.68,9.41,5.27,207.69
2021,2,19,97.68,9.93,12.65,6.12,6.53,186.56,13.22,17.04,8.82,8.23,187.75
2021,2,20,97.53,8.88,14.77,4.4,10.37,182.31,12.62,19.73,6.7,13.02,183.5
2021,2,21,98.64,7.41,10.41,4.78,5.62,197.88,10.68,14.34,7.77,6.57,198.62
2021,2,22,99.5,4.97,6.52,3.56,2.95,209.44,7.47,9.29,5.68,3.62,209.75
2021,2,23,99.02,12.01,17.84,6.64,11.2,188.25,15.85,23.25,9.59,13.66,189.62
2021,2,24,99.3,9.3,12.05,5.33,6.72,213.81,12.72,16.45,8.27,8.18,214.69
2021,2,25,100.42,8.18,10.01,5.35,4.66,247.06,11.11,12.93,8.43,4.5,247.94
2021,2,26,101.67,5.36,6.4,4.4,2.0,235.88,7.78,8.92,6.2,2.71,236.38
2021,2,27,102.23,4.34,6.09,2.7,3.4,241.44,6.06,7.54,4.91,2.62,242.06
2021,2,28,102.14,2.27,3.35,1.2,2.16,247.44,3.38,5.18,1.95,3.23,247.94
2021,3,1,101.78,2.01,3.37,0.56,2.8,151.94,3.0,5.8,0.83,4.98,152.25
2021,3,2,101.53,2.22,3.24,0.82,2.42,110.94,2.95,3.73,1.13,2.59,111.56
2021,3,3,101.3,2.69,3.72,0.75,2.97,45.44,3.55,5.26,0.99,4.27,45.69
2021,3,4,101.41,4.85,8.01,3.09,4.91,41.69,6.85,9.67,5.02,4.66,42.25
2021,3,5,101.84,1.94,3.05,0.78,2.27,154.0,2.69,4.73,0.79,3.95,154.38
2021,3,6,101.65,4.09,5.46,2.72,2.74,252.69,5.91,7.76,3.88,3.88,253.0
2021,3,7,100.89,4.7,5.76,2.81,2.95,257.0,6.95,7.94,5.12,2.82,257.62
2021,3,8,100.3,4.72,5.54,3.69,1.86,262.81,6.93,7.96,5.88,2.08,263.5
2021,3,9,99.51,7.68,15.8,3.08,12.73,202.12,10.54,20.14,5.5,14.64,202.94
2021,3,10,97.22,9.84,15.52,6.55,8.96,215.44,13.06,19.98,8.55,11.42,216.62
2021,3,11,96.38,11.77,13.24,9.8,3.44,251.56,15.1,17.3,12.67,4.62,252.94
2021,3,12,97.09,9.16,12.6,5.43,7.17,229.94,11.73,15.97,7.6,8.36,231.0
2021,3,13,97.1,6.06,8.34,2.8,5.54,269.94,8.07,10.19,4.73,5.46,270.88
2021,3,14,99.0,7.16,8.91,4.86,4.05,269.75,9.69,11.3,7.78,3.52,270.75
2021,3,15,100.33,3.86,4.79,2.38,2.42,280.56,5.98,7.68,4.36,3.32,281.12
2021,3,16,101.11,5.55,8.18,3.2,4.98,300.75,8.32,10.68,5.89,4.79,301.62
2021,3,17,101.81,3.63,5.1,1.83,3.27,259.12,5.33,6.95,2.76,4.2,259.44
2021,3,18,101.5,3.84,5.8,2.48,3.33,254.19,5.99,7.55,4.02,3.52,254.88
2021,3,19,101.6,2.38,3.38,0.88,2.49,63.69,3.68,6.14,1.26,4.88,63.31
2021,3,20,101.36,4.6,8.2,2.02,6.18,280.12,6.77,10.89,3.48,7.41,280.75
2021,3,21,101.24,3.45,4.41,2.7,1.7,289.38,5.09,7.6,3.2,4.4,289.75
2021,3,22,100.62,5.43,7.4,3.64,3.76,248.0,7.85,9.55,6.23,3.32,248.75
2021,3,23,99.82,8.63,11.91,5.31,6.59,220.88,11.54,15.2,7.48,7.71,221.69
2021,3,24,99.57,8.09,10.23,5.83,4.41,229.88,10.71,13.03,8.59,4.45,230.69
2021,3,25,99.12,8.1,10.23,5.59,4.65,210.69,10.74,13.62,7.62,5.99,211.69
2021,3,26,98.12,9.08,10.68,7.14,3.54,221.31,11.7,14.24,9.51,4.73,222.19
2021,3,27,99.18,9.05,12.81,7.48,5.33,233.69,11.67,16.77,9.55,7.23,234.94
2021,3,28,98.78,11.95,14.8,8.95,5.86,226.88,15.7,19.41,11.75,7.66,227.94
2021,3,29,99.55,12.59,14.97,10.48,4.49,226.5,16.7,19.62,14.23,5.38,227.62
2021,3,30,100.54,8.3,10.77,5.4,5.38,226.31,11.49,14.58,8.44,6.15,227.12
2021,3,31,100.56,5.15,8.48,0.84,7.64,111.38,6.91,10.35,0.99,9.35,111.5
2021,4,1,101.49,4.25,6.2,1.41,4.8,67.5,5.49,8.32,1.98,6.34,67.12
2021,4,2,101.84,3.0,4.73,1.1,3.64,115.88,4.09,5.66,1.47,4.19,116.62
2021,4,3,101.8,2.25,3.7,0.7,3.0,304.81,3.34,7.1,0.96,6.13,305.5
2021,4,4,100.39,9.26,13.49,4.02,9.48,274.0,11.96,16.93,7.01,9.92,275.19
2021,4,5,100.36,8.75,10.66,6.66,4.01,321.88,11.43,13.2,9.3,3.89,323.19
2021,4,6,100.46,7.2,9.45,5.35,4.1,318.69,9.68,11.74,8.17,3.57,319.94
2021,4,7,100.48,4.72,6.13,2.8,3.34,292.44,6.7,8.4,4.62,3.78,293.31
2021,4,8,99.26,10.64,14.22,5.59,8.63,246.19,13.85,18.02,8.6,9.42,247.5
2021,4,9,99.6,4.97,7.23,3.4,3.84,304.12,6.95,9.95,5.54,4.41,305.12
2021,4,10,100.14,2.76,3.38,2.01,1.37,189.44,3.93,5.77,2.29,3.48,189.19
2021,4,11,100.52,3.32,4.48,1.95,2.53,326.31,4.55,5.95,2.96,2.98,326.69
2021,4,12,101.15,3.02,3.47,2.19,1.28,308.25,4.12,5.32,3.41,1.91,308.56
2021,4,13,101.57,1.2,2.27,0.25,2.02,282.31,1.61,3.16,0.36,2.8,281.75
2021,4,14,101.8,1.84,3.61,0.59,3.02,168.69,2.62,6.08,0.72,5.36,182.56
2021,4,15,101.78,3.11,4.55,1.94,2.6,148.44,4.46,7.77,2.18,5.59,148.88
2021,4,16,101.44,2.84,3.73,2.24,1.48,221.81,4.16,6.15,3.03,3.12,222.06
2021,4,17,101.24,2.84,3.31,2.25,1.06,205.12,4.06,4.74,3.34,1.4,205.38
2021,4,18,100.84,3.21,4.32,1.84,2.48,193.56,4.65,5.55,3.28,2.27,193.69
2021,4,19,100.46,3.05,4.34,1.83,2.5,199.56,4.31,5.46,2.81,2.64,199.94
2021,4,20,100.34,2.79,4.57,1.52,3.05,220.31,3.9,6.12,2.16,3.96,220.0
2021,4,21,100.91,3.55,4.86,2.54,2.32,80.12,4.9,6.32,2.7,3.62,80.69
2021,4,22,101.08,2.61,4.43,0.55,3.87,246.12,3.66,6.32,0.84,5.48,247.0
2021,4,23,101.29,2.66,5.38,0.6,4.77,161.5,3.55,7.16,0.6,6.55,161.19
2021,4,24,101.55,3.94,4.93,2.95,1.98,90.44,5.17,6.6,4.04,2.56,91.0
2021,4,25,101.52,2.39,3.8,1.6,2.2,127.94,3.28,6.36,1.54,4.81,128.56
2021,4,26,100.3,5.68,9.19,3.36,5.83,248.0,8.1,12.29,5.52,6.77,249.0
2021,4,27,99.71,6.3,9.72,2.79,6.93,123.62,8.05,11.66,4.16,7.49,124.44
2021,4,28,99.9,4.89,7.19,2.62,4.56,38.75,6.66,8.45,4.32,4.12,38.81
2021,4,29,99.93,4.25,5.45,2.95,2.49,26.38,5.84,7.02,5.03,1.99,26.38
2021,4,30,100.2,3.95,5.68,1.78,3.9,46.81,5.23,7.2,2.5,4.7,47.0
2021,5,1,100.24,1.34,2.16,0.83,1.33,66.75,1.68,3.12,0.78,2.34,64.69
2021,5,2,100.14,2.81,3.64,2.04,1.6,276.69,3.88,4.91,2.89,2.02,276.88
2021,5,3,98.56,6.45,11.62,1.81,9.8,136.12,8.08,14.03,2.69,11.35,136.81
2021,5,4,98.19,8.45,11.48,4.74,6.73,316.38,10.97,14.34,7.66,6.68,317.81
2021,5,5,99.05,4.44,6.01,2.55,3.45,312.94,5.99,7.73,4.24,3.5,314.0
2021,5,6,98.93,4.2,5.8,2.52,3.27,288.69,5.7,7.07,4.16,2.91,289.38
2021,5,7,99.63,2.63,3.38,1.33,2.05,286.19,3.49,4.59,1.73,2.85,286.19
2021,5,8,98.32,5.57,11.86,1.4,10.46,150.19,7.55,14.72,1.85,12.87,151.0
2021,5,9,97.49,5.28,7.56,3.59,3.97,188.19,8.12,10.46,6.65,3.81,189.0
2021,5,10,97.74,4.62,7.1,2.36,4.74,179.94,6.93,10.45,3.62,6.83,180.56
2021,5,11,98.85,5.93,8.91,2.95,5.95,174.62,8.0,12.13,3.63,8.5,175.12
2021,5,12,99.1,2.75,4.93,0.9,4.03,123.44,3.58,6.29,1.27,5.02,124.81
2021,5,13,99.55,3.14,4.35,1.29,3.06,56.81,3.89,5.11,1.68,3.43,57.56
2021,5,14,99.37,2.13,3.66,0.5,3.16,78.06,2.9,5.55,0.34,5.21,78.06
2021,5,15,98.54,3.85,4.38,3.02,1.37,117.5,5.25,6.5,4.52,1.98,118.81
2021,5,16,98.29,3.63,5.05,2.47,2.58,105.38,4.84,6.35,3.09,3.25,106.56
2021,5,17,98.85,2.53,4.97,1.31,3.66,216.12,3.79,7.62,1.63,5.99,216.5
2021,5,18,99.44,3.8,4.98,2.52,2.46,276.62,5.3,7.28,3.73,3.55,277.38
2021,5,19,99.99,2.61,3.62,1.3,2.32,272.06,3.73,6.27,2.19,4.09,272.75
2021,5,20,98.93,6.49,11.65,1.1,10.55,129.25,8.14,14.3,1.56,12.74,130.69
2021,5,21,97.64,9.4,11.64,7.24,4.4,75.62,11.86,14.57,9.24,5.33,76.88
2021,5,22,98.61,4.57,7.14,2.24,4.91,308.62,5.99,9.45,3.73,5.71,309.69
2021,5,23,98.4,5.33,8.6,1.73,6.88,178.62,7.29,11.09,2.83,8.26,179.31
2021,5,24,98.25,6.7,9.2,2.35,6.84,261.56,8.73,11.41,3.49,7.91,262.69
2021,5,25,99.5,4.8,6.02,2.18,3.84,164.62,6.51,8.34,3.39,4.95,165.12
2021,5,26,99.97,3.88,5.98,1.62,4.36,299.38,5.24,7.64,2.49,5.15,285.12
2021,5,27,100.36,1.91,2.8,0.82,1.98,160.56,2.6,3.72,0.86,2.86,162.75
2021,5,28,100.73,2.24,3.23,0.54,2.7,167.69,3.14,4.61,0.71,3.9,168.62
2021,5,29,101.2,2.05,2.56,1.55,1.02,130.62,2.88,4.0,1.95,2.05,133.31
2021,5,30,101.18,2.7,3.38,1.98,1.39,158.06,4.05,6.61,2.46,4.15,159.69
2021,5,31,100.5,4.3,6.25,2.67,3.58,164.81,6.59,8.59,3.25,5.34,165.81
2021,6,1,100.15,4.56,5.2,3.86,1.34,142.31,6.42,8.73,4.97,3.77,143.75
2021,6,2,100.21,5.26,6.34,3.44,2.9,100.88,6.86,8.07,5.06,3.0,102.56
2021,6,3,100.24,5.02,6.12,3.33,2.8,136.25,6.73,7.82,4.72,3.1,137.5
2021,6,4,100.6,4.11,5.27,2.38,2.89,223.31,5.75,6.69,4.42,2.26,223.44
2021,6,5,100.7,3.57,4.94,2.7,2.24,221.56,5.16,6.42,3.8,2.62,221.5
2021,6,6,100.82,3.12,4.91,0.12,4.78,249.06,4.26,6.42,0.04,6.38,251.88
2021,6,7,100.58,2.85,4.46,2.02,2.45,186.0,4.23,7.33,2.85,4.48,186.56
2021,6,8,100.39,5.48,6.78,4.07,2.72,215.0,7.74,9.05,6.34,2.72,215.44
2021,6,9,100.0,6.73,8.63,5.12,3.51,209.12,9.32,11.7,7.15,4.55,209.75
2021,6,10,99.68,7.6,9.38,5.58,3.8,210.06,10.54,12.74,7.77,4.98,210.88
2021,6,11,99.71,7.75,9.47,5.48,3.98,250.56,10.48,12.27,7.96,4.3,251.19
2021,6,12,100.53,6.52,8.06,4.38,3.68,264.75,8.66,9.88,6.9,2.98,265.44
2021,6,13,100.54,6.82,8.82,4.47,4.34,232.88,9.52,11.84,6.8,5.03,233.56
2021,6,14,100.21,7.84,10.85,4.14,6.71,262.75,10.29,13.65,6.2,7.45,263.5
2021,6,15,100.15,5.37,8.28,2.56,5.72,216.88,7.49,11.57,2.93,8.65,217.56
2021,6,16,99.28,4.92,7.88,2.31,5.56,230.88,6.96,10.82,4.13,6.69,230.88
2021,6,17,99.68,3.62,5.09,2.55,2.53,269.94,5.21,8.03,3.09,4.94,269.62
2021,6,18,100.26,3.57,5.29,2.1,3.19,151.25,4.84,7.09,2.44,4.65,137.06
2021,6,19,99.88,3.98,5.19,2.78,2.41,141.5,5.55,7.82,4.08,3.74,142.62
2021,6,20,99.67,2.09,4.67,0.65,4.02,155.94,3.02,6.78,0.68,6.1,168.81
2021,6,21,100.28,3.45,4.66,1.73,2.93,38.75,4.51,6.47,2.7,3.77,67.38
2021,6,22,100.66,2.71,5.55,0.31,5.24,198.06,3.74,7.7,0.21,7.48,201.12
2021,6,23,100.59,4.01,5.58,2.62,2.96,265.31,5.48,6.74,4.31,2.43,266.38
2021,6,24,100.27,5.13,7.06,2.27,4.79,236.0,6.99,9.37,3.49,5.88,236.5
2021,6,25,100.39,7.02,8.38,5.52,2.85,13.62,8.93,10.52,7.62,2.89,14.0
2021,6,26,100.72,4.52,6.48,1.14,5.34,48.0,5.71,8.0,1.67,6.33,48.31
2021,6,27,100.46,1.34,2.65,0.59,2.06,147.94,1.88,4.76,0.54,4.22,152.5
2021,6,28,100.19,1.45,2.09,0.89,1.2,101.69,2.02,3.94,1.07,2.87,101.31
2021,6,29,100.26,2.73,4.55,1.12,3.44,77.12,3.41,5.88,1.82,4.05,75.31
2021,6,30,100.37,2.89,4.12,1.41,2.72,59.94,3.73,4.78,2.14,2.63,58.69
2021,7,1,100.3,2.11,3.56,1.52,2.04,63.25,2.86,5.89,1.66,4.24,62.06
2021,7,2,99.97,2.66,3.45,2.13,1.32,122.12,3.73,4.94,2.46,2.47,125.0
2021,7,3,99.49,3.67,5.52,1.56,3.95,143.25,5.2,7.19,2.13,5.05,144.44
2021,7,4,98.93,3.14,4.42,1.91,2.51,133.81,4.52,6.67,2.86,3.81,134.88
2021,7,5,98.44,3.5,5.26,1.84,3.42,184.44,5.12,7.03,2.3,4.73,185.12
2021,7,6,98.17,3.12,4.98,1.46,3.52,170.12,4.34,6.21,2.51,3.7,170.19
2021,7,7,99.14,3.28,4.26,2.13,2.12,282.69,4.74,5.94,3.6,2.34,283.06
2021,7,8,100.18,1.12,2.2,0.31,1.88,197.5,1.7,3.64,0.31,3.32,202.62
2021,7,9,100.42,1.73,2.6,0.6,2.0,158.31,2.36,3.82,0.74,3.08,160.75
2021,7,10,100.04,1.77,2.61,1.23,1.37,126.62,2.63,5.12,1.34,3.78,129.38
2021,7,11,99.78,2.48,2.96,1.84,1.12,167.12,3.73,4.95,3.1,1.86,167.56
2021,7,12,99.85,3.0,4.15,1.88,2.27,81.62,4.23,5.01,3.52,1.49,81.94
2021,7,13,100.15,2.12,2.78,1.2,1.59,104.31,2.95,3.78,1.98,1.8,87.62
2021,7,14,100.3,3.67,6.57,0.03,6.55,251.81,4.88,9.19,0.12,9.07,252.94
2021,7,15,100.81,1.94,5.42,0.23,5.2,228.06,2.95,7.9,0.05,7.85,235.56
2021,7,16,101.18,4.68,6.23,3.36,2.87,277.5,6.91,8.23,5.13,3.09,278.12
2021,7,17,101.18,6.19,8.28,4.01,4.27,265.88,8.8,11.12,6.79,4.33,266.5
2021,7,18,100.91,3.66,5.41,2.34,3.08,278.5,5.22,7.8,4.23,3.56,278.62
2021,7,19,100.62,1.43,2.41,0.48,1.92,182.0,2.12,4.26,0.48,3.79,191.75
2021,7,20,100.58,2.64,3.88,1.05,2.83,95.44,3.44,5.19,1.49,3.7,96.62
2021,7,21,100.8,1.65,2.99,0.52,2.48,169.06,2.42,5.06,0.67,4.4,182.81
2021,7,22,100.84,2.37,3.18,1.06,2.11,81.62,3.08,5.19,1.7,3.48,81.19
2021,7,23,100.36,2.7,3.94,1.94,2.0,100.19,3.59,5.35,2.22,3.13,100.19
2021,7,24,99.81,2.86,3.91,1.76,2.16,102.0,3.76,5.21,2.49,2.72,102.56
2021,7,25,99.61,2.46,3.73,1.37,2.36,64.81,3.12,4.28,2.08,2.2,64.19
2021,7,26,99.27,2.57,3.2,1.8,1.39,245.31,3.82,5.76,2.2,3.55,245.81
2021,7,27,99.06,1.82,2.88,0.38,2.51,159.31,2.66,5.28,0.38,4.91,160.0
2021,7,28,98.47,4.48,6.16,1.38,4.79,241.0,5.89,8.09,2.26,5.83,241.81
2021,7,29,98.64,4.39,5.95,3.06,2.88,280.81,6.09,7.95,4.98,2.98,281.69
2021,7,30,98.9,2.02,2.76,0.74,2.02,147.81,2.73,4.8,1.12,3.68,148.12
2021,7,31,99.15,2.48,3.47,1.3,2.17,179.31,3.41,4.8,1.59,3.2,177.31
2021,8,1,99.71,2.72,4.31,1.22,3.09,35.38,3.73,5.61,1.52,4.09,48.44
2021,8,2,99.77,1.62,2.53,0.55,1.99,151.12,2.3,4.27,0.67,3.59,155.06
2021,8,3,99.66,2.11,2.88,1.52,1.35,234.25,2.99,4.95,1.79,3.16,234.81
2021,8,4,99.5,3.63,4.29,2.98,1.31,212.69,5.43,6.93,4.21,2.72,212.75
2021,8,5,98.57,6.12,7.64,3.91,3.73,142.56,8.38,10.3,5.9,4.4,143.69
2021,8,6,97.61,4.68,7.15,2.82,4.33,136.31,6.41,9.53,3.55,5.98,137.25
2021,8,7,97.57,4.54,6.1,2.92,3.18,145.25,6.39,7.78,4.94,2.84,146.31
2021,8,8,98.11,1.93,3.55,1.07,2.48,181.56,2.78,5.8,1.38,4.42,181.31
2021,8,9,99.0,2.09,3.37,0.96,2.41,244.19,3.05,5.41,1.21,4.2,245.06
2021,8,10,99.62,1.48,2.84,0.07,2.77,260.69,2.2,4.77,0.17,4.59,262.69
2021,8,11,99.65,5.03,7.36,3.02,4.35,217.81,7.19,9.96,5.05,4.91,218.19
2021,8,12,99.63,5.88,9.2,2.49,6.71,204.69,8.16,11.89,3.85,8.04,205.25
2021,8,13,99.57,8.11,10.94,4.87,6.07,229.25,10.95,14.18,7.97,6.2,230.19
2021,8,14,99.83,6.55,8.57,3.68,4.89,253.12,8.97,10.65,6.66,4.0,254.06
2021,8,15,99.46,4.66,7.02,3.34,3.67,277.0,6.5,9.48,4.09,5.39,277.62
2021,8,16,99.9,5.05,6.25,4.09,2.16,294.69,6.92,8.37,5.7,2.67,295.31
2021,8,17,99.94,5.35,6.09,4.7,1.4,280.81,7.28,8.17,5.96,2.21,281.94
2021,8,18,99.72,5.54,7.76,2.72,5.04,278.5,7.74,10.14,4.47,5.67,279.38
2021,8,19,99.56,1.41,2.12,0.44,1.69,157.75,2.01,3.7,0.66,3.04,157.38
2021,8,20,99.77,2.89,4.23,1.71,2.52,133.5,4.11,6.81,2.43,4.38,135.25
2021,8,21,99.82,2.76,4.05,1.9,2.16,159.31,4.49,7.12,2.88,4.23,159.88
2021,8,22,100.54,2.52,3.54,1.48,2.06,95.88,3.55,4.34,2.26,2.08,96.44
2021,8,23,101.46,1.2,2.2,0.59,1.62,108.25,1.72,3.88,0.46,3.42,111.69
2021,8,24,101.65,1.45,2.51,0.08,2.43,114.19,2.1,4.91,0.16,4.76,113.25
2021,8,25,101.27,1.9,2.91,0.34,2.56,117.88,2.75,4.63,0.51,4.12,116.81
2021,8,26,101.04,3.43,4.59,2.5,2.09,50.56,4.81,5.46,4.0,1.45,49.81
2021,8,27,101.13,2.39,2.62,2.0,0.62,65.88,3.23,4.12,2.71,1.41,65.12
2021,8,28,101.24,1.81,2.42,1.25,1.17,180.56,2.49,4.11,1.55,2.55,179.12
2021,8,29,101.35,2.8,4.09,1.11,2.98,44.62,3.78,5.19,1.73,3.45,44.69
2021,8,30,101.58,3.83,4.62,2.91,1.71,41.38,5.43,6.62,4.77,1.84,41.5
2021,8,31,101.88,3.3,4.39,2.49,1.9,48.19,4.89,6.38,4.24,2.13,48.31
2021,9,1,101.94,2.98,3.77,2.36,1.41,82.62,4.32,5.64,2.77,2.88,67.25
2021,9,2,101.68,2.51,3.07,1.93,1.14,72.25,3.46,5.23,2.4,2.84,72.56
2021,9,3,101.0,2.57,3.33,1.34,1.99,88.69,3.27,4.34,1.84,2.51,89.5
2021,9,4,100.54,3.45,4.38,2.3,2.09,128.75,4.8,6.21,3.59,2.62,130.06
2021,9,5,100.53,3.12,4.25,1.85,2.4,184.81,4.73,6.06,3.5,2.56,185.44
